#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
73,Sat Sep 12 13:25:04 PDT 2020,62,0,RequiredClassesSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,CompareSafetyComputationsTest InferringMainTest IsInferredSafeTest PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ,ClassifierFactory ControllerFactory ModelFactory ViewFactory ,
74,Sat Sep 12 13:25:06 PDT 2020,62,0,RequiredClassesSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,CompareSafetyComputationsTest InferringMainTest IsInferredSafeTest PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ,ClassifierFactory ControllerFactory ModelFactory ViewFactory ,
75,Sat Sep 12 13:25:07 PDT 2020,62,0,FactoriesSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ClassifierFactory+ CompareSafetyComputationsTest ControllerFactory+ InferringMainTest IsInferredSafeTest ModelFactory+ PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ViewFactory+ , ,
76,Sat Sep 12 13:25:20 PDT 2020,62,0,RequiredClassesSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ClassifierFactory CompareSafetyComputationsTest ControllerFactory InferringMainTest IsInferredSafeTest ModelFactory PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ViewFactory , ,
77,Sat Sep 12 13:25:22 PDT 2020,62,0,UtilityClassSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ClassifierFactory CompareSafetyComputationsTest ControllerFactory InferringMainTest IsInferredSafeTest ModelFactory PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ViewFactory , ,
78,Sat Sep 12 13:25:46 PDT 2020,62,0,MainClassSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ClassifierFactory CompareSafetyComputationsTest ControllerFactory InferringMainTest IsInferredSafeTest ModelFactory PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ViewFactory , ,
79,Sat Sep 12 13:39:19 PDT 2020,62,0,MainClassSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ClassifierFactory CompareSafetyComputationsTest ControllerFactory InferringMainTest IsInferredSafeTest ModelFactory PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ViewFactory , ,
80,Sat Sep 12 13:39:22 PDT 2020,62,0,MainClassSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ClassifierFactory CompareSafetyComputationsTest ControllerFactory InferringMainTest IsInferredSafeTest ModelFactory PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ViewFactory , ,
81,Sat Sep 12 13:39:24 PDT 2020,62,0,UtilityClassSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ClassifierFactory CompareSafetyComputationsTest ControllerFactory InferringMainTest IsInferredSafeTest ModelFactory PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ViewFactory , ,
82,Sat Sep 12 13:39:30 PDT 2020,62,0,StyleSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ClassifierFactory CompareSafetyComputationsTest ControllerFactory InferringMainTest IsInferredSafeTest ModelFactory PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ViewFactory , ,
83,Sat Sep 12 13:39:32 PDT 2020,72,10,FactoriesSuite,BasicMainTest ControllerFactory+ DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory+ PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactory+ , ,ClassifierFactory CompareSafetyComputationsTest InferringMainTest IsInferredSafeTest PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings , ,
84,Sat Sep 12 13:39:36 PDT 2020,72,0,RequiredClassesSuite,BasicMainTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactory , ,ClassifierFactory CompareSafetyComputationsTest InferringMainTest IsInferredSafeTest PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings , ,
85,Sat Sep 12 14:24:06 PDT 2020,62,-10,FactoriesSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ClassifierFactory CompareSafetyComputationsTest ControllerFactory- InferringMainTest IsInferredSafeTest ModelFactory- PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ViewFactory- , ,
86,Sat Sep 12 14:24:19 PDT 2020,62,0,UtilityClassSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ClassifierFactory CompareSafetyComputationsTest ControllerFactory InferringMainTest IsInferredSafeTest ModelFactory PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ViewFactory , ,
87,Sat Sep 12 14:24:26 PDT 2020,62,0,MainClassSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ClassifierFactory CompareSafetyComputationsTest ControllerFactory InferringMainTest IsInferredSafeTest ModelFactory PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ViewFactory , ,
88,Sat Sep 12 14:24:31 PDT 2020,62,0,RequiredClassesSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ClassifierFactory CompareSafetyComputationsTest ControllerFactory InferringMainTest IsInferredSafeTest ModelFactory PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ViewFactory , ,
89,Sat Sep 12 14:25:56 PDT 2020,62,0,MainClassSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ClassifierFactory CompareSafetyComputationsTest ControllerFactory InferringMainTest IsInferredSafeTest ModelFactory PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ViewFactory , ,
90,Sat Sep 12 14:25:57 PDT 2020,62,0,UtilityClassSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ClassifierFactory CompareSafetyComputationsTest ControllerFactory InferringMainTest IsInferredSafeTest ModelFactory PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ViewFactory , ,
91,Sat Sep 12 14:25:59 PDT 2020,62,0,StyleSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ClassifierFactory CompareSafetyComputationsTest ControllerFactory InferringMainTest IsInferredSafeTest ModelFactory PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ViewFactory , ,
92,Sat Sep 12 14:26:00 PDT 2020,62,0,RequiredClassesSuite,BasicMainTest DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided , ,ClassifierFactory CompareSafetyComputationsTest ControllerFactory InferringMainTest IsInferredSafeTest ModelFactory PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings ViewFactory , ,
93,Sat Sep 12 14:26:01 PDT 2020,72,10,FactoriesSuite,BasicMainTest ControllerFactory+ DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory+ PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactory+ , ,ClassifierFactory CompareSafetyComputationsTest InferringMainTest IsInferredSafeTest PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings , ,
94,Sat Sep 12 14:30:39 PDT 2020,72,0,FactoriesSuite,BasicMainTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactory , ,ClassifierFactory CompareSafetyComputationsTest InferringMainTest IsInferredSafeTest PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings , ,
95,Sat Sep 12 15:20:00 PDT 2020,72,0,RequiredClassesSuite,BasicMainTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactory , ,ClassifierFactory CompareSafetyComputationsTest InferringMainTest IsInferredSafeTest PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings , ,
96,Sat Sep 12 15:20:03 PDT 2020,72,0,FactoriesSuite,BasicMainTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactory , ,ClassifierFactory CompareSafetyComputationsTest InferringMainTest IsInferredSafeTest PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings , ,
97,Sat Sep 12 17:19:06 PDT 2020,72,0,MainClassSuite,BasicMainTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactory , ,ClassifierFactory CompareSafetyComputationsTest InferringMainTest IsInferredSafeTest PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings , ,
98,Sat Sep 12 17:19:08 PDT 2020,72,0,RequiredClassesSuite,BasicMainTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactory , ,ClassifierFactory CompareSafetyComputationsTest InferringMainTest IsInferredSafeTest PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings , ,
99,Sat Sep 12 17:19:09 PDT 2020,72,0,FactoriesSuite,BasicMainTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactory , ,ClassifierFactory CompareSafetyComputationsTest InferringMainTest IsInferredSafeTest PrintGeneratedCombinationInferredSafetyTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings , ,
100,Sat Sep 12 17:19:12 PDT 2020,75,3,UtilityClassSuite,BasicMainTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest+ PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactory , ,ClassifierFactory CompareSafetyComputationsTest InferringMainTest IsInferredSafeTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings , ,
101,Sat Sep 12 17:19:16 PDT 2020,75,0,StyleSuite,BasicMainTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactory , ,ClassifierFactory CompareSafetyComputationsTest InferringMainTest IsInferredSafeTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings , ,
102,Sat Sep 12 17:19:56 PDT 2020,75,0,FactoriesSuite,BasicMainTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactory , ,ClassifierFactory CompareSafetyComputationsTest InferringMainTest IsInferredSafeTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings , ,
103,Sat Sep 12 17:19:59 PDT 2020,75,0,FactoriesSuite,BasicMainTest ControllerFactory DerivedSafetyTest DerivingMainTest GenerateSafeDistancesAndDurationsTest GivenSafetyTest InterpolatedSafetyTest InterpolatingMainTest IsInterpolatedOneParameterSafetyTest IsInterpolatedTwoParameterSafetyTest ModelFactory PrintGeneratedCombinationDerivedSafetyTest PrintGeneratedCombinationInferredSafetyTest PrintGivenAndGeneratedCombinationDerivedTest PrintSafeDistancesAndDurationsTest SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided SocialDistanceUtilityTesterMainProvided ViewFactory , ,ClassifierFactory CompareSafetyComputationsTest InferringMainTest IsInferredSafeTest SafeSocializationtxtProvided SocialDistanceInferringMainProvided SocialDistanceNoCheckstyleWarnings , ,
